,dGr_prime,SD of dGr_prime
r_0672,-48.47455605127226,4.692854074156417
r_0673,-56.30601709876271,1.1737502461237053
r_0674,2.890656706060783,0.46889618039131165
r_0675,4.9231864154453016,1.6960307359695435
r_0676,14.901332489753216,3.285159871420299
r_0678,3.1816186384445806,1.6353518356588368
r_0679,-12.336681908182243,1.026665210723877
r_0680,-12.365398406982422,1.0266625881195068
r_0681,0.016056243850009366,1.2945585250854492
r_0682,0.0321618269538817,1.294567346572876
r_0683,0.02566006697549028,1.2945621013641357
r_0687,,
r_0688,-5.06847232340487,3.03663185168641
r_0689,-28.29737090419442,1.092892050743103
r_0690,26.051825062666502,3.6034761778736857
r_0691,19.101045069509084,0.5384018886534846
r_0692,-20.452758298777468,1.947560429573059
r_0693,-20.462263140232285,1.947560429573059
r_0694,-359.83853678339824,7.199237823486328
r_0695,-0.1387732659703856,3.1007087926263392
r_0696,-41.3059894056036,1.2904937012025306
r_0697,-18.893265038845477,2.5235650539398193
r_0698,-105.17472839356061,34.64992904663086
r_0699,1.1102372035560233,1.1632230281829834
r_0700,1.1117612030096211,1.163223385810852
r_0701,,
r_0702,,
r_0703,-7.383558452553686,3.749230146408081
r_0704,-7.383559406228002,3.7492284774780273
r_0705,-18.876188311576342,4.9244890213012695
r_0706,-18.876184496879077,4.924477577209473
r_0707,-18.876192126273608,4.924479961395264
r_0708,-18.87618640422771,4.9244794845581055
r_0711,,
r_0712,,
r_0713,28.89639157468153,0.33889337417823784
r_0714,28.906404169976962,0.33890402894888344
r_0715,28.898977605787906,0.3389049508872092
r_0716,-46.52428723513188,1.5501410866471574
r_0717,-46.7935493754584,1.5501416390209797
r_0718,30.468317624819143,1.7394393682479858
r_0719,30.468201513644537,1.7394227981567383
r_0721,10.097509269356001,2.2368907885372082
r_0722,-2.5063176063021055,0.15031255842988908
r_0723,0.2629063861545937,0.18243329226970673
r_0724,-6.585236919838015,0.7694064764890584
r_0725,-6.688056858285321,0.7694031629954287
r_0726,-25.017730886074997,28.560894012451172
r_0727,-15.011693090546938,7.551975250244141
r_0728,-17.607392138736067,3.1358619707880067
r_0729,,
r_0730,,
r_0731,5.140687298198376,1.5280170440673828
r_0732,-5.140653920125672,1.528014898300171
r_0733,-5.042466815815942,1.5280086994171143
r_0734,6.954937665545511,1.8712327480316162
r_0735,-14.719728744470874,1.0167855434057766
r_0736,-14.719678507996479,1.0167703186856714
r_0737,-14.719663477750434,1.0167736306413668
r_0738,-14.719700165572837,1.0167582842025056
r_0739,-31.319676115345437,6.584646224975586
r_0747,-16.380289407429178,0.9373950879682222
r_0748,-16.380319925006393,0.9373346936994518
r_0749,-16.38030320366401,0.9373729670162108
r_0750,-16.380354473194352,0.9373836863493381
r_0751,-16.380328870475594,0.9373535603783905
r_0752,-16.380345960318493,0.9373555034702415
r_0753,-16.380313688041156,0.9374098825653292
r_0754,-16.38032467436837,0.9373846309278765
r_0755,-16.380336046076827,0.9373550715194359
r_0756,-16.380325059747793,0.9373414297110138
r_0757,-23.569138756503683,1.8800755739212036
r_0758,-3.8848390249970137,2.7853825092315674
r_0759,-2.5558448960797575,1.629988393218533
r_0760,-40.07139296278742,4.313985202194043
r_0761,-42.738132670292174,1.5099134551685518
r_0762,-17.256164402821412,3.464019748914036
r_0763,-121.75580223418093,20.76247722686537
r_0764,-33.40218359442037,2.0057226192842603
r_0765,-6.713896116301281,2.0555807723149053
r_0766,-21.624283721562545,2.055570360242165
r_0767,-30.89730886838516,1.485319136737542
r_0768,-9.600389707679469,6.407927544295385
r_0769,-9.60039405643435,6.407915461054774
r_0770,-71.50564031501328,26.17945840911511
r_0771,-6.713928311817829,2.0555828797445397
r_0772,-21.62441940213411,2.055582208251818
r_0773,-74.92879469700635,26.179455707613794
r_0774,-22.38033831041923,1.4059175252914429
r_0775,-37.50568945755436,1.4059195518493652
r_0781,-37.19513142778203,6.408063888549805
r_0782,1.0572085555578141,33.32734298706055
r_0783,-1.7133049476211482,1.9760659044079993
r_0784,-1.7133025062148983,1.97606996642443
r_0785,-2.512476517843389,0.1503327766232463
r_0786,4.290698741898514,5.244231577677096
r_0787,18.571323384882632,5.244230906457147
r_0788,-24.635212328189176,0.3395017343645161
r_0789,-24.6365975048264,0.33950830103390933
r_0790,-24.632501138156712,0.33951915055483606
r_0791,-24.816504812254227,0.33952277589158236
r_0792,-24.63680507679176,0.339516710516238
r_0793,-24.63004470547603,0.3395251340561509
r_0795,-5.878139714354802e-05,0.00024437246611341834
r_0796,-4.507876674608724e-06,0.00024043823941610754
r_0797,-5.879926749230435e-05,0.00023694221454206854
r_0798,-5.674357464613422e-05,0.00022283766884356737
r_0799,-5.185870156765304e-05,0.0002575770195107907
r_0800,-6.6487423929118e-05,0.0002142325247405097
r_0801,6.2540177907521866e-06,0.0002178741415264085
r_0802,-0.00014786822919887754,0.00020823633531108499
r_0803,-2.4210316738049187e-05,0.0002815461193677038
r_0804,-26.008806432525382,0.33049782886620654
r_0805,-26.008843120347784,0.33049604812656985
r_0806,-26.008821462771426,0.33049587357626964
r_0807,-26.008858422013937,0.33049061593279294
r_0810,-24.80790183733815,0.33950483447913976
r_0811,-2.8578897818931637e-05,0.00028454692801460624
